total test length
23158
-------------------folder , length of x_test, y_test-------------------------
121 140 140
number by successful floor
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,4
11,0
12,0
13,2
14,8
15,14
16,52
17,17
18,43
each floor by number


[0, 30, 0]
[0, 110, 0]
[0, 0, 0]


[0, 29, 1]
[0, 110, 0]
[0, 0, 0]


[63, 31, 6]
[23, 17, 0]
[0, 0, 0]


[78, 32, 0]
[22, 8, 0]
[0, 0, 0]


[109, 11, 0]
[20, 0, 0]
[0, 0, 0]


[125, 5, 0]
[10, 0, 0]
[0, 0, 0]


[135, 5, 0]
[0, 0, 0]
[0, 0, 0]


[136, 4, 0]
[0, 0, 0]
[0, 0, 0]


[136, 4, 0]
[0, 0, 0]
[0, 0, 0]


[136, 4, 0]
[0, 0, 0]
[0, 0, 0]


[140, 0, 0]
[0, 0, 0]
[0, 0, 0]


[140, 0, 0]
[0, 0, 0]
[0, 0, 0]


[140, 0, 0]
[0, 0, 0]
[0, 0, 0]


[140, 0, 0]
[0, 0, 0]
[0, 0, 0]


[140, 0, 0]
[0, 0, 0]
[0, 0, 0]


[140, 0, 0]
[0, 0, 0]
[0, 0, 0]


[140, 0, 0]
[0, 0, 0]
[0, 0, 0]


[140, 0, 0]
[0, 0, 0]
[0, 0, 0]
each floor by percent


[0.0, 100.0, 0.0]
[0.0, 99.99999999999999, 0.0]
[0, 0, 0]


[0.0, 96.66666666666667, 3.3333333333333335]
[0.0, 99.99999999999999, 0.0]
[0, 0, 0]


[63.0, 31.0, 6.0]
[57.5, 42.5, 0.0]
[0, 0, 0]


[70.9090909090909, 29.09090909090909, 0.0]
[73.33333333333334, 26.666666666666668, 0.0]
[0, 0, 0]


[90.83333333333334, 9.166666666666668, 0.0]
[100.0, 0.0, 0.0]
[0, 0, 0]


[96.15384615384615, 3.846153846153846, 0.0]
[100.0, 0.0, 0.0]
[0, 0, 0]


[96.42857142857143, 3.5714285714285716, 0.0]
[0, 0, 0]
[0, 0, 0]


[97.14285714285715, 2.857142857142857, 0.0]
[0, 0, 0]
[0, 0, 0]


[97.14285714285715, 2.857142857142857, 0.0]
[0, 0, 0]
[0, 0, 0]


[97.14285714285715, 2.857142857142857, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]


[100.0, 0.0, 0.0]
[0, 0, 0]
[0, 0, 0]
total by number and percent
[2038, 155, 7]
[75, 245, 0]
[0, 0, 0]
[92.63636363636364, 7.045454545454546, 0.3181818181818182]
[23.4375, 76.5625, 0.0]
[nan, nan, nan]
total accuracy
0.905952380952381
-------------------folder , length of x_test, y_test-------------------------
122 3802 3802
number by successful floor
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,30
8,55
9,37
10,41
11,84
12,96
13,174
14,306
15,388
16,561
17,825
18,1204
each floor by number


[0, 25, 0]
[0, 385, 6]
[0, 283, 3103]


[0, 25, 0]
[0, 239, 1]
[0, 261, 3276]


[169, 9, 0]
[126, 26, 6]
[58, 110, 3298]


[179, 6, 0]
[182, 104, 16]
[16, 163, 3136]


[252, 2, 0]
[194, 261, 34]
[15, 160, 2884]


[260, 0, 0]
[234, 532, 153]
[0, 451, 2172]


[324, 5, 0]
[209, 1488, 95]
[0, 107, 1574]


[333, 6, 0]
[261, 1495, 61]
[0, 181, 1465]


[335, 8, 0]
[178, 1387, 62]
[0, 338, 1494]


[333, 10, 0]
[175, 1270, 74]
[0, 437, 1503]


[463, 28, 0]
[117, 1634, 5]
[0, 699, 856]


[706, 71, 0]
[47, 2978, 0]
[0, 0, 0]


[897, 503, 0]
[301, 2101, 0]
[0, 0, 0]


[1303, 353, 0]
[343, 1803, 0]
[0, 0, 0]


[2089, 59, 0]
[302, 1352, 0]
[0, 0, 0]


[3451, 16, 0]
[335, 0, 0]
[0, 0, 0]


[3802, 0, 0]
[0, 0, 0]
[0, 0, 0]


[3802, 0, 0]
[0, 0, 0]
[0, 0, 0]
each floor by percent


[0.0, 100.0, 0.0]
[0.0, 98.46547314578005, 1.5345268542199488]
[0.0, 8.357944477259304, 91.6420555227407]


[0.0, 100.0, 0.0]
[0.0, 99.58333333333334, 0.4166666666666667]
[0.0, 7.3791348600508915, 92.62086513994912]


[94.9438202247191, 5.056179775280899, 0.0]
[79.74683544303797, 16.455696202531644, 3.7974683544303796]
[1.6733987305251012, 3.1736872475476057, 95.1529140219273]


[96.75675675675676, 3.243243243243243, 0.0]
[60.264900662251655, 34.437086092715234, 5.298013245033113]
[0.48265460030165913, 4.917043740573153, 94.6003016591252]


[99.21259842519684, 0.7874015748031495, 0.0]
[39.672801635991824, 53.37423312883436, 6.952965235173824]
[0.4903563255966002, 5.230467473030402, 94.279176201373]


[100.0, 0.0, 0.0]
[25.462459194776933, 57.88900979325354, 16.64853101196953]
[0.0, 17.194052611513534, 82.80594738848646]


[98.48024316109422, 1.519756838905775, 0.0]
[11.662946428571427, 83.03571428571428, 5.301339285714286]
[0.0, 6.365258774538965, 93.63474122546104]


